geneID	symbol	ZT0_R1	ZT4_R1	ZT8_R1	ZT12_R1	ZT16_R1	ZT20_R1	ZT0_R2	ZT4_R2	ZT8_R2	ZT12_R2	ZT16_R2	ZT20_R2
FBgn0036373	Tgi	6.426890	9.347000	9.699050	8.919380	8.699780	9.788280	6.929960	10.663600	9.565270	10.395800	8.909770	8.998630
FBgn0036372	Abp1	6.800430	6.292090	6.603810	5.937220	6.297950	5.287030	6.968240	6.411760	5.791500	5.301090	6.908250	5.296570
FBgn0033980	Cyp6a20	199.351000	124.808000	142.282000	177.813000	147.325000	214.322000	200.317000	125.402000	137.751000	144.724000	238.599000	194.552000
FBgn0036374	Spt20	3.991100	3.436700	3.379460	3.608650	3.815150	4.100430	4.139550	3.747280	3.501020	3.880910	4.511680	4.145340
FBgn0036377	CG10710	0.858632	0.707910	0.907466	0.920577	0.653850	0.597884	0.752196	0.715551	0.664565	0.800507	0.721741	0.563276
FBgn0036376	Liprin-beta	19.259400	17.719400	17.214500	14.669900	16.112100	14.980900	18.292300	17.257400	17.073100	15.831400	14.290400	16.128600
FBgn0032420	CG6583	14.244500	11.121700	10.739300	13.336300	13.591800	19.122400	17.511700	10.647100	13.397400	12.684300	25.733300	14.719600
FBgn0045471	Gr92a	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0267319	lncRNA:CR45755	0.000000	0.000000	0.440153	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.467674	0.000000	0.000000
FBgn0267318	lncRNA:CR45754	0.000000	0.194742	0.000000	0.000000	0.196223	0.000000	0.000000	0.000000	0.000000	0.180179	0.000000	0.232427
FBgn0051909	CG31909	0.295526	0.000000	0.117835	0.000000	0.113074	0.158246	0.295830	0.281382	0.114337	0.000000	0.165569	0.323022
FBgn0051908	CG31908	11.474300	5.231090	6.716420	8.929810	5.717810	9.463510	9.778990	5.529890	7.014610	7.870230	13.623900	7.016900
FBgn0033362	CG8172	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0267313	lncRNA:CR45749	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0267312	lncRNA:CR45748	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0051907	CG31907	0.000000	0.000000	0.000000	0.000000	0.000000	0.044131	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0267310	lncRNA:CR45746	1.464040	2.011710	0.583915	0.000000	0.000000	2.352500	0.732923	2.788700	2.266270	0.000000	3.281820	2.401000
FBgn0051901	Mur29B	0.000000	0.028461	0.049566	0.028966	0.086031	0.033282	0.031107	0.000000	0.000000	0.026332	0.069644	0.067936
FBgn0267316	lncRNA:CR45752	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0267315	lncRNA:TS16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0051902	Spn28Da	0.048914	0.000000	0.117054	0.045603	0.000000	0.052399	0.000000	0.000000	0.037859	0.124373	0.109648	0.000000
FBgn0010388	Dro	66.897800	92.946700	16.704300	20.811000	2.185250	0.724613	34.201700	26.091300	39.742800	4.253200	12.743100	127.367000
FBgn0026566	CG1307	5.497630	7.500050	7.837030	7.582240	7.758600	7.074930	6.612730	7.953570	5.872240	4.949950	5.322340	7.698210
FBgn0005614	trpl	371.667000	477.925000	584.415000	583.922000	320.406000	311.723000	414.593000	457.969000	581.652000	542.478000	450.329000	324.502000
FBgn0052847	CG32847	0.098853	0.090552	0.078850	0.092169	0.182481	0.105904	0.000000	0.000000	0.382539	0.083788	0.000000	0.108075
FBgn0005617	msl-1	10.978300	10.225700	9.726290	9.304660	10.133200	10.726100	10.926700	11.251300	10.763900	9.212720	10.444300	11.089600
FBgn0030898	Andorra	0.070094	0.000000	0.000000	0.000000	0.000000	0.150175	0.000000	0.066758	0.000000	0.059409	0.000000	0.076636
FBgn0052843	Dh31-R	5.139110	4.599180	5.012780	5.022190	4.560320	3.659900	4.827940	4.279410	4.899170	4.496360	4.478750	3.479300
FBgn0005613	Sox15	1.621680	1.402250	1.680450	1.624950	1.245040	1.315090	1.259500	1.327980	1.712640	1.811210	1.341970	1.723320
FBgn0033982	Cyp317a1	13.704600	16.961700	15.101600	12.186500	9.143610	15.236700	14.030400	15.070700	15.576400	10.833700	9.392420	14.490300
FBgn0261373	CG33228	36.584500	21.448700	21.478500	24.739700	20.441100	19.125100	34.480800	15.238100	20.613800	16.868000	27.555000	19.412800
FBgn0005619	Hdc	17.030400	13.315700	11.674200	9.864080	13.571500	15.509000	19.630200	14.587600	11.382400	10.131800	16.537000	17.398200
FBgn0267270	lncRNA:CR45706	1.048890	0.533801	0.836675	0.398398	0.573717	0.707458	0.933496	0.628976	0.781751	0.296329	0.957902	0.382259
FBgn0052311	zormin	25.884500	24.639300	24.042700	20.009500	19.082500	23.472200	20.720900	25.643200	21.793400	20.073000	17.238100	22.858400
FBgn0262352	CG43050	0.000000	0.000000	0.136309	0.000000	0.000000	0.000000	0.057031	0.000000	0.000000	0.096554	0.000000	0.000000
FBgn0262353	lncRNA:CR43051	179.546000	255.531000	195.082000	346.085000	176.410000	141.185000	187.198000	192.897000	232.865000	185.266000	192.855000	148.965000
FBgn0262354	CG43052	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.404228	0.000000
FBgn0262355	lncRNA:CR43053	0.000000	0.000000	0.000000	0.000000	0.000000	0.139003	0.000000	0.123583	0.000000	0.000000	0.000000	0.000000
FBgn0262356	CG43054	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0262357	CG43055	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.142238
FBgn0262358	CG43056	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0262359	CG43057	0.000000	0.000000	0.156237	0.182606	0.000000	0.000000	0.000000	0.373082	0.151595	0.166005	0.155880	0.000000
FBgn0265812	lncRNA:CR44601	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0000370	crc	1022.400000	911.925000	928.624000	1011.720000	806.117000	908.883000	1035.430000	939.245000	1010.710000	916.524000	995.002000	897.384000
FBgn0265810	asRNA:CR44599	4.941090	4.149130	4.160370	1.919430	2.660430	2.940610	3.160710	2.222230	1.381000	3.024550	1.846010	2.400990
FBgn0265811	asRNA:CR44600	0.156091	0.214483	0.000000	0.145526	0.144076	0.000000	0.312569	0.222993	0.060406	0.066148	0.087475	0.085330
FBgn0265816	lncRNA:CR44605	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.665726	0.000000	0.964049	0.000000
FBgn0265817	lncRNA:CR44606	0.000000	0.344196	0.149859	0.525454	0.057802	0.067084	0.125400	0.178926	0.436219	0.053076	0.140377	0.136934
FBgn0035879	GAPcenA	15.521500	18.491000	16.734500	13.751600	15.013600	17.918300	15.499900	19.030800	17.079400	14.677200	13.207400	16.400100
FBgn0265815	lncRNA:CR44604	0.000000	2.746750	0.000000	0.931828	2.767640	1.070690	0.000000	3.807640	2.320740	0.000000	0.000000	0.000000
FBgn0035877	CG7083	49.628300	43.916400	42.188600	41.948700	41.926900	45.962900	49.918800	45.795000	44.698900	43.759700	49.404500	46.285200
FBgn0035876	Pex2	5.721130	5.409950	6.281120	6.366230	6.132470	5.140200	6.652110	5.155870	6.380200	7.247380	4.205930	5.246190
FBgn0265818	lncRNA:CR44607	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0265819	lncRNA:CR44608	0.000000	0.284299	0.000000	0.144671	0.000000	0.000000	0.776835	0.147789	0.120102	0.263038	0.347845	0.000000
FBgn0035873	CG13670	0.964510	0.441774	0.274775	0.642302	1.653350	1.623630	1.517530	0.721758	0.586546	0.175173	0.926603	1.506460
FBgn0035872	CG7185	8.650850	9.313270	7.853310	7.002760	8.139070	7.422840	7.876360	9.071090	8.013170	6.752470	6.816550	7.599390
FBgn0035871	BI-1	98.287100	72.365500	83.124300	99.042900	81.309100	76.520500	90.821700	70.562500	82.324300	89.798400	91.915200	76.953900
FBgn0035870	Gr66a	0.226850	0.831231	0.482542	0.634483	0.488571	0.283512	0.264985	0.360087	0.438944	0.576803	0.466137	0.702727
FBgn0028866	CG18420	0.094726	0.057849	0.125935	0.088314	0.174868	0.304422	0.158071	0.270651	0.073316	0.107047	0.070780	0.172610
FBgn0028867	CR15280	0.000000	0.000000	0.000000	0.048363	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.056716
FBgn0028864	CG18477	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0028862	dao	12.914200	12.907300	13.313100	13.030200	14.343600	13.754800	15.427400	12.925400	14.144200	12.010300	17.305300	13.192200
FBgn0028863	CG4587	42.982500	47.579500	43.527100	40.742100	39.951600	37.177400	48.755800	45.484800	47.476000	42.062900	55.560100	40.385500
FBgn0028644	beat-Ic	5.352110	4.604380	4.826120	6.313180	5.079710	4.786130	5.894600	4.709490	6.114560	5.187050	7.967830	4.744890
FBgn0028645	beat-Ib	7.662500	6.939510	7.101980	5.804340	7.617140	6.132930	7.584790	6.966060	6.185010	6.531290	5.367620	6.949600
FBgn0029689	CG6428	9.670590	9.261490	10.953300	12.782400	11.321900	9.372900	9.032850	7.954340	11.194900	14.636300	10.369700	8.376110
FBgn0028648	mRpL50	10.400000	6.944900	5.427190	5.980710	7.894850	6.559580	10.607500	6.109600	6.319140	5.848900	7.407830	7.332430
FBgn0028868	CG4701	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0025549	unc-119	43.934800	53.929300	50.941100	44.252600	50.355000	49.466900	55.044500	51.789500	51.818500	50.323300	45.641800	54.256400
FBgn0261847	CG42779	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0262688	CR43158	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.200729	0.000000
FBgn0262689	asRNA:CR43159	0.429483	0.442610	0.642356	0.300308	0.396423	0.345060	0.591270	1.227120	0.623272	0.455013	0.180514	0.586957
FBgn0032478	CG5458	1.232080	0.677193	0.589682	0.964890	0.682342	0.422352	0.592129	0.422436	0.381442	0.334161	1.104740	0.323295
FBgn0032479	CG16974	61.355700	54.909300	48.734200	38.751000	41.381200	50.514800	60.843500	53.018600	45.633200	40.834000	39.854200	49.166000
FBgn0032476	CG5439	6.102480	5.649070	5.021540	4.132300	4.832290	5.539440	5.627660	5.200230	4.971790	4.192190	4.967820	3.792510
FBgn0032477	CG5287	20.013200	17.202900	14.057100	14.991500	12.920200	19.001800	18.802500	17.885400	15.519700	14.576500	14.651500	17.412100
FBgn0032474	DnaJ-H	44.296200	47.361200	44.230800	40.798000	50.340300	49.309200	50.580400	46.034800	47.455900	47.640500	44.279500	54.879400
FBgn0032475	Sfmbt	13.964000	11.706700	12.416800	11.912900	12.956500	13.637100	13.858800	13.400600	12.963800	12.348100	13.025200	12.124300
FBgn0032472	CG9928	924.415000	796.686000	689.020000	710.180000	607.239000	383.861000	903.938000	885.406000	715.497000	614.201000	422.586000	518.740000
FBgn0032473	kmg	0.000000	0.000000	0.019283	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.020489	0.054189	0.000000
FBgn0032470	CG5142	5.740360	4.269280	2.810850	4.768920	4.065130	3.530630	4.921760	5.466600	4.772850	3.275620	3.375550	3.013760
FBgn0032471	CG5122	0.000000	0.025170	0.010959	0.064042	0.012681	0.000000	0.027511	0.026169	0.010633	0.046576	0.015398	0.015020
FBgn0036566	ClC-c	29.895200	22.742500	24.480500	25.786900	22.506700	25.988300	28.550900	24.989800	23.656400	25.908200	30.635500	24.460300
FBgn0086898	dgo	3.450890	3.113280	3.219010	2.568990	3.284310	2.767390	2.740910	3.572810	2.903370	2.537210	2.610430	2.924440
FBgn0086895	pea	4.200570	5.506340	5.076830	4.219510	5.430720	4.742230	4.673070	6.088500	4.312980	4.842840	3.963010	5.133810
FBgn0261846	CG42778	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0011888	tRNA:Lys-CTT-1-3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0011889	tRNA:Lys-CTT-1-2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0011880	tRNA:Ile-AAT-1-1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0011881	tRNA:Ile-AAT-1-3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0011882	tRNA:Ile-AAT-1-4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0011883	tRNA:Ile-AAT-1-5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0011884	tRNA:Ile-AAT-1-6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0011885	tRNA:Ile-AAT-1-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0011887	tRNA:Lys-CTT-1-4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0030657	cerv	12.231400	12.908200	12.499000	10.226100	13.555500	9.067460	14.857900	11.268100	11.110600	9.093860	11.658900	11.245000
FBgn0003048	pcx	4.422430	4.803510	4.883400	4.536610	4.819770	4.935070	3.627620	4.784950	4.422210	4.511300	4.439870	5.176070
FBgn0003511	Sry-beta	3.120410	4.123240	3.881930	3.625630	4.670460	3.967030	3.414370	2.706250	3.373240	3.704710	2.839790	4.462340
FBgn0003046	Pcp	0.404578	0.648579	0.968169	0.377191	0.653510	0.650099	0.303932	0.577981	1.409110	0.342901	0.906968	0.884671
FBgn0003513	ss	1.835460	1.261840	1.515870	1.313110	1.263630	1.603080	1.363740	1.059360	1.450630	1.225850	1.274400	1.595350
FBgn0003512	Sry-delta	9.174860	8.689610	6.512310	6.669070	8.360960	9.495310	8.874810	7.738450	7.281700	7.183090	10.414000	8.713480
FBgn0003515	st	11.855600	7.067910	6.283210	4.987690	5.905760	7.689250	10.739800	6.452180	6.096540	5.081110	7.141140	6.084240
FBgn0003042	Pc	8.047910	11.842400	10.957700	8.947750	11.484100	10.801300	8.775650	13.457500	12.350500	10.584400	12.882300	13.350200
FBgn0003517	sta	521.182000	417.535000	389.642000	388.258000	382.202000	404.438000	483.671000	438.242000	362.080000	389.948000	374.893000	343.064000
FBgn0042627	FASN2	0.348146	0.342992	0.375520	0.355200	0.242527	0.286295	0.261596	0.267269	0.314803	0.334045	0.213512	0.265730
FBgn0085384	CG34355	29.637800	29.508300	27.656900	28.049000	26.118300	28.823400	32.018900	28.887300	28.843500	26.646600	33.517000	30.454800
FBgn0042198	CG16741	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0042199	CG13713	0.203487	0.000000	0.324634	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.222478
FBgn0034614	CG9752	1.799220	0.772587	0.896998	1.677430	1.453130	1.084160	1.519960	1.392280	0.783314	0.905429	1.638480	0.799147
FBgn0053465	CG33465	0.000000	0.000000	0.000000	0.069269	0.068531	0.000000	0.111714	0.035454	0.086237	0.000000	0.000000	0.081155
FBgn0035299	CG11815	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0053467	CG33467	0.000000	0.266023	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FBgn0053460	CG33460	13.686700	15.881300	11.253500	15.704900	13.281000	10.752000	14.898300	14.305400	15.428100	12.016700	10.856200	14.043200
FBgn0053461	CG33461	0.000000	0.144499	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.066846	0.000000	0.000000
FBgn0053462	CG33462	0.000000	0.058132	0.050620	0.059163	0.000000	0.067979	0.000000	0.000000	0.000000	0.000000	0.071125	0.069381
FBgn0053463	CG33463	0.958431	0.176194	0.153282	0.178850	1.237910	0.616199	0.000000	0.000000	0.741535	0.324997	0.644621	0.628618
