symbol	ZT0_R1	ZT4_R1	ZT8_R1	ZT12_R1	ZT16_R1	ZT20_R1	ZT0_R2	ZT4_R2	ZT8_R2	ZT12_R2	ZT16_R2	ZT20_R2
tRNA:Ile-AAT-1-6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
tRNA:Ile-AAT-1-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
tRNA:Lys-CTT-1-4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
cerv	10.885700	12.635800	8.791920	9.871010	10.736400	8.372080	11.809100	12.691500	10.069900	10.341000	8.772090	12.410400
pcx	2.819960	3.320710	3.557620	2.973970	3.708950	3.723670	3.565890	3.444340	3.521770	3.882460	3.803160	3.805860
Sry-beta	2.985070	2.651380	2.331320	3.226280	3.679660	3.512220	3.290920	3.619290	3.259760	2.931440	3.678230	4.154050
Pcp	0.741182	0.771648	0.769345	0.281479	0.710989	0.287783	0.191435	0.504726	0.438429	0.281479	0.117934	0.716260
ss	1.513160	1.662760	1.448200	1.522870	1.578900	1.582600	1.605400	1.704100	1.211260	1.418510	1.317210	1.441030
Sry-delta	6.766040	7.316030	6.357780	5.770190	4.958090	8.812260	5.849700	6.725330	5.830710	5.373490	8.190430	7.915060
st	6.156290	3.555050	4.345340	3.117300	4.751400	3.620560	5.088210	4.382320	4.311670	3.890390	5.976680	3.545770
Pc	14.553000	14.624400	14.380400	14.480800	13.771500	12.063400	12.649800	14.059900	12.129600	14.566500	10.848000	13.859000
sta	311.159000	338.124000	347.613000	208.669000	284.640000	392.491000	336.236000	298.079000	326.283000	273.103000	326.737000	337.461000
FASN2	0.228646	0.478871	0.281053	0.280302	0.247843	0.214857	0.186490	0.382868	0.368788	0.322957	0.246426	0.215150
CG34355	37.690800	34.881900	31.993500	39.694800	34.845600	37.923900	33.571700	34.054800	33.337500	30.586500	32.472500	32.583100
CG16741	0.000000	0.382144	0.000000	0.000000	0.000000	0.142519	0.000000	0.000000	0.000000	0.000000	0.000000	0.133018
CG13713	0.000000	0.000000	0.580426	0.000000	0.000000	0.000000	0.000000	0.169238	0.176410	0.000000	0.000000	0.000000
CG9752	0.515023	0.524277	0.534592	0.573731	0.677544	0.373279	0.266043	0.420861	0.731160	0.469416	0.916224	0.447935
CG33465	0.135989	0.062999	0.035285	0.068889	0.111812	0.000000	0.035123	0.061778	0.160962	0.172129	0.043199	0.000000
CG11815	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CG33467	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.270424	0.000000	0.000000	0.000000	0.338038	0.000000
CG33460	5.336250	5.652280	5.472280	2.734620	3.876600	3.594680	5.247360	5.954260	3.833480	4.492590	4.820120	4.349120
CG33461	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.069815
CG33462	0.000000	0.000000	0.000000	0.000000	0.127451	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CG33463	0.175617	0.649754	0.364405	1.422080	0.384920	1.635380	0.544060	0.478138	0.830556	0.888775	0.669428	0.678446
CG5687	32.161300	21.336000	22.567300	18.366900	32.418200	32.503000	32.683900	23.695400	23.011200	21.390300	28.390100	34.872100
dsb	18.930500	22.577500	14.547000	11.197900	13.061500	24.473200	20.289500	21.836800	16.936000	15.596100	29.996100	28.980900
CG33468	0.117980	0.109182	0.244926	0.238962	0.258684	0.366471	0.243779	0.107122	0.000000	0.238962	0.449757	0.000000
CG33469	1.680700	2.329100	2.367620	2.188380	2.237380	0.621493	0.744157	3.052040	3.408620	2.431540	1.678030	1.044110
Cnb	0.534238	0.709356	0.988527	0.423417	0.585686	0.769603	0.935899	0.843602	0.637530	0.776268	0.796928	0.561168
Mfap1	3.363410	2.813310	2.584870	1.866860	2.907300	3.382030	3.742150	2.584040	2.448680	2.849410	3.041080	3.281580
CG43355	0.156019	0.360962	0.000000	0.553016	0.342090	0.000000	0.099241	0.212491	0.295329	0.316010	0.693899	0.150773
CG43354	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
lncRNA:CR43353	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
HP1Lcsd	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CG43351	221.570000	202.663000	145.303000	255.699000	172.295000	273.874000	213.828000	160.631000	227.585000	146.983000	354.668000	244.827000
CG43350	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CG43349	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.276809	0.000000	0.000000
CG43348	0.153531	0.439079	0.492449	0.487135	0.000000	0.000000	0.158617	0.000000	0.000000	0.000000	0.000000	0.458430
snRNA:U4atac	3.328530	0.000000	13.820000	6.741740	0.000000	13.785500	3.438810	9.066570	9.450800	3.370870	12.688800	0.000000
be	12.108100	13.029100	12.262500	12.709900	12.420400	10.736700	12.226700	14.537600	12.811100	11.923100	9.958280	12.249400
CG10183	0.025792	0.047737	0.000000	0.026120	0.028276	0.000000	0.000000	0.046837	0.000000	0.026120	0.000000	0.000000
lncRNA:CR43357	0.000000	0.000000	0.127488	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
lncRNA:CR43356	0.967714	1.044810	0.502243	0.326675	0.530453	0.667982	0.666518	0.292884	0.457944	0.000000	0.819792	0.935175
Cyp1	282.946000	279.602000	305.812000	244.375000	234.859000	224.616000	270.714000	251.311000	270.355000	237.141000	260.656000	211.311000
CG16723	0.050764	0.000000	0.000000	0.051410	0.027826	0.000000	0.000000	0.046092	0.000000	0.025705	0.032253	0.024529
IKKbeta	7.769710	7.343490	8.564920	7.145370	8.288350	7.519310	8.070420	8.328650	6.678660	7.375820	7.132030	7.832270
wol	21.202900	19.582700	18.676600	17.623000	23.198500	18.148900	19.767300	19.136500	18.868100	20.018300	19.428900	20.490000
